Semilla Aleatoria,Número de Individuos,Número de Generaciones,Operador de Selección,Operador de Cruce,Operador de Mutación,Operador de Reemplazo,Tiempo de Simulación
90,8,10,Torneo,1 punto,Uniforme,Generacional,20.14285744
90,8,10,Torneo,1 punto,Gaussiana,Generacional,11.19791683
90,8,10,Torneo,2 puntos,Uniforme,Generacional,14.43300022
90,8,10,Torneo,2 puntos,Gaussiana,Generacional,14.0509093
90,8,10,Torneo,1 punto,Uniforme,Elitista,20.15267206
90,8,10,Torneo,1 punto,Gaussiana,Elitista,14.37460339
90,8,10,Torneo,2 puntos,Uniforme,Elitista,20.14925403
90,8,10,Torneo,2 puntos,Gaussiana,Elitista,10.82812516
90,8,15,Torneo,1 punto,Uniforme,Generacional,12.12903244
90,8,15,Torneo,1 punto,Gaussiana,Generacional,14.19444466
90,8,15,Torneo,2 puntos,Uniforme,Generacional,14.20895544
90,8,15,Torneo,2 puntos,Gaussiana,Generacional,10.56000016
90,8,15,Torneo,1 punto,Uniforme,Elitista,20.12820543
90,8,15,Torneo,1 punto,Gaussiana,Elitista,10.66000016
90,8,15,Torneo,2 puntos,Uniforme,Elitista,13.15294137
90,8,15,Torneo,2 puntos,Gaussiana,Elitista,11.04444461
