Semilla Aleatoria,Número de Individuos,Número de Generaciones,Operador de Selección,Operador de Cruce,Operador de Mutación,Operador de Reemplazo,Tiempo de Simulación
90,8,10,Torneo,1 punto,Uniforme,Generacional,13.70454566
90,8,10,Torneo,1 punto,Gaussiana,Generacional,13.1015627
90,8,10,Torneo,2 puntos,Uniforme,Generacional,14.12419376
90,8,10,Torneo,2 puntos,Gaussiana,Generacional,20.1980201
90,8,10,Torneo,1 punto,Uniforme,Elitista,13.44776139
90,8,10,Torneo,1 punto,Gaussiana,Elitista,13.22413813
90,8,10,Torneo,2 puntos,Uniforme,Elitista,20.0000003
90,8,10,Torneo,2 puntos,Gaussiana,Elitista,12.39300018
90,8,15,Torneo,1 punto,Uniforme,Generacional,20.21978052
90,8,15,Torneo,1 punto,Gaussiana,Generacional,11.73529429
90,8,15,Torneo,2 puntos,Uniforme,Generacional,14.20289876
90,8,15,Torneo,2 puntos,Gaussiana,Generacional,10.81375016
90,8,15,Torneo,1 punto,Uniforme,Elitista,13.45703145
90,8,15,Torneo,1 punto,Gaussiana,Elitista,13.63103469
90,8,15,Torneo,2 puntos,Uniforme,Elitista,15.70196102
90,8,15,Torneo,2 puntos,Gaussiana,Elitista,14.25925947
